Threshold: 0.100000, Precision: 0.701934, Recall: 0.272338
Threshold: 0.150000, Precision: 0.803543, Recall: 0.196093
Threshold: 0.200000, Precision: 0.880781, Recall: 0.131795
Threshold: 0.250000, Precision: 0.923390, Recall: 0.086320
Threshold: 0.300000, Precision: 0.944784, Recall: 0.054445
Threshold: 0.350000, Precision: 0.956949, Recall: 0.035261
Threshold: 0.400000, Precision: 0.961630, Recall: 0.022552
Threshold: 0.450000, Precision: 0.964856, Recall: 0.014008
Threshold: 0.500000, Precision: 0.970556, Recall: 0.008256
Threshold: 0.550000, Precision: 0.987226, Recall: 0.005019
Threshold: 0.600000, Precision: 0.996241, Recall: 0.002458
Threshold: 0.650000, Precision: 1.000000, Recall: 0.001104
Threshold: 0.700000, Precision: 1.000000, Recall: 0.000464
Threshold: 0.750000, Precision: 1.000000, Recall: 0.000241
